Date Time,Intersection Street One,Intersection Street Two,Address Street Number,Address Street Name,Number of Motorists,Number of Cyclists,Number of Pedestrians,Number of Injured Individuals,Hospitalizations (estimated),Neighborhood (estimated)
03/04/2016 10:20:00 AM,,,78,PORTER RD,0,0,0,0,0,North Cambridge
03/04/2016 02:45:00 PM,,,581,MASS AVE,2,0,0,0,0,The Port
03/05/2016 03:13:00 PM,,,100,CAMBRIDGESIDE PLACE,2,0,0,0,0,East Cambridge
03/05/2016 04:05:00 PM,,,194,THORNDIKE,1,0,0,0,0,East Cambridge
03/06/2016 05:00:00 AM,,,,BINNEY STREET,0,0,0,0,0,
03/06/2016 03:10:00 PM,FAIRMONT ST,PLEASANT ST,,,2,0,0,0,0,
03/06/2016 04:00:00 PM,,,105,NORFOLK ST,0,0,0,0,0,The Port
03/06/2016 07:16:00 PM,,,495,BROADWAY,1,0,0,0,0,Mid-Cambridge
03/07/2016 10:00:00 AM,,,,MASS AVE,1,0,1,0,1,
03/07/2016 07:45:00 PM,,,,HANCOCK,0,0,0,0,0,
03/07/2016 08:27:00 PM,HAMPSHIRE S,PROSPECT ST,187,HAMPSHIRE ST,1,1,0,0,0,Wellington-Harrington
03/07/2016 09:10:00 PM,,,45,MT. AUBURN ST,1,0,0,0,0,Riverside
03/08/2016 11:15:00 AM,,,800,TECHNOLOGY SQ,0,0,0,0,0,The Port
03/08/2016 06:45:00 PM,,,650,CAMBRIDGE STREET,1,0,0,0,0,East Cambridge
03/08/2016 07:22:00 PM,,,100,CAMBRIDGESIDE PLACE,1,0,1,0,0,East Cambridge
03/09/2016 09:30:00 AM,,,254,FRANKLIN STREET,1,0,0,0,0,Cambridgeport
03/09/2016 11:11:00 AM,BRATTLE ST,CHANNING ST,,,2,0,0,0,0,
03/09/2016 11:57:00 AM,WINDSOR STREET,MAIN STREET,,,2,0,0,0,2,
03/10/2016 07:05:00 AM,RIVER ST,ROCKWELL ST,,,1,0,0,0,0,
03/10/2016 08:25:00 AM,,,30,ESSEX ST.,1,0,0,0,0,The Port
